,ctuid,Ai_jobs_transit_beta,Ai_activities_transit_beta,Ai_jobs_auto_beta,Ai_activities_auto_beta,Ai_jobs_ratio_beta,Ai_activities_ratio_beta,Ai_combine_beta,SESi_beta,inc_avg_inc_16_beta,pop_beta,dw_beta,pop_elderly_prop_beta,pop_child_prop_beta,pop_immig_beta,pop_nodegree_beta,pop_unemployed_beta,inc_lico_p_beta,inc_total30p_beta,dw_majorrep_beta,dw_lone_prop_beta,dw_no_car_beta,mean_nonworktrip_time_adult_beta,mean_commute_time_adult_beta,R_activities_per_day_beta
227,5350194.03,0.004997729317961133,3286.4143073253476,0.002863491469874739,8088.963262035556,0,0,0.006429606574955439,-0.08708196907286905,-645.9622285714285,10.314285714285715,-1.092976133141378,-0.0003071081713370159,0.002476628401846562,0.0009427237375796627,-0.002126259926453585,0.0009484196016878121,0.007340280022661142,0.00995877018229023,-0.0037131541594247314,0.005397689918383791,0.000516119244486265,0.16242436856926892,-0.05123131489347128,-0.00694813042388474
228,5350194.04,0.002244084353532197,2090.5512613215205,0.0017998637195861707,7284.983311195484,0,0,0.0036385143409232335,-0.005751064301262577,457.0947428571429,162.21714285714336,55.30624162099116,-0.003959699103023485,0.0037322098987768344,-2.0810375353657628e-06,-0.008535627765193047,0.00025242631094818917,0.004533583531482845,0.006986199300002719,-0.0030553759345450173,0.0005592566610053822,-0.0005839143935993776,0.14069866566788514,-0.159230549511382,-0.003564485143702285
229,5350195.01,0.003827423421621502,2813.4763274054344,0.0013514629515353812,7034.97918515828,0,0,0.005286536124995636,0.009507608631688017,2974.4682857142866,29.404699255066575,-4.264163288416746,-0.0026992624653395946,0.0023560186583912964,-0.00016716998076488012,-0.005789281286368248,0.0014924430102596464,0.00010772910175981086,0.001150742868034925,0.0003532739334164346,0.0004287654420617261,-0.0013172914454419424,-0.05858279280279525,0.08509672578799764,0.015828286312866265
230,5350195.02,0.002955843213202027,2390.7819837192005,0.0012701595231258273,6764.261583954014,0,0,0.004349106402994301,0.02898955627587577,2972.4865714285716,29.22841790720446,6.5674524481917045,-0.0024447200002609363,0.0026960048374233825,-0.0002454400599043088,-0.008183362712707736,0.0013666146401564749,-0.0008349899520301891,-0.00016165355994433186,-0.0012932957131532228,0.0010541110026802121,-0.002015925493476201,-0.027772327343935796,0.014868857377400789,-0.008437203818112221
231,5350196.01,0.0038554095831792447,2827.0489075050064,0.00135407357860166,7043.671840694317,0,0,0.005316636693360468,-0.007468518718305898,2394.0052571428578,18.9597435157208,4.138422795745242,-0.00024486549966524113,-0.0005143037487804746,0.0005421587715039144,-0.0057669584839195615,0.0009134569627936,0.00048511526216291973,0.0039842085042139045,-0.00024420576128107984,0.0010201108946130523,-0.0012686020986191144,-0.0542534305872419,0.07479525730335247,0.015459360356226517
232,5350196.02,0.002955843213202027,2390.7819837192005,0.0012701595231258273,6764.261583954014,0,0,0.004349106402994301,-0.019961376707099347,2483.5321142857147,10.485970769993505,-2.881279938602288,-0.0003503801483268136,-0.00018883855208775993,0.0007068746545583143,-0.006865314467701161,0.0012138310134982575,0.0010023819797706345,0.003881707743976018,0.0007175289325964632,0.0012303200825417664,-0.002015925493476201,-0.020221156616572932,0.04632702324844837,-0.008239608899082783
233,5350200.01,0.0031013035719578107,2308.616610924897,0.0028117454496857743,6712.6705356700695,0,0,0.004318920049782191,0.030008371216625515,121.29291428571443,60.63852760824692,39.111556509618495,0.0038912702473945155,-0.0013534099846078294,-0.005284556269612852,-0.006731011688380867,-0.0014057382828058626,0.0010365688580978149,0.005841510510900931,-0.001435476474187143,0.0032235681021663717,0.000447195479391017,-0.10193222951779284,-0.04072083678477882,0.0008842378301265804
234,5350200.02,0.003071526072682121,2313.190358006326,0.002811492641225314,6706.7220593289385,0,0,0.004310132338298464,0.0374225645645749,-149.77451428571413,-9.495670465389674,0.04183976447259879,0.0027201524496260586,-0.0024886692831324287,-0.0048333397644944225,-0.006744132895531895,-0.0017804827751974341,-0.00034279983333586995,0.005634225507347283,-0.0001993601371050567,0.0013098355761889421,0.000583020039698565,-0.09747416885308897,-0.03791170479688564,0.0007058135501341903
235,5350201.00,0.0019234630060594284,1845.7951610823436,0.0029482803214368014,6861.292525630336,0,0,0.003184575659852819,0.08327736530091959,888.6898422214863,12.622857142857157,17.98946086876629,0.00013274523187327487,-0.0016832654013141828,-0.0012340482670089882,-0.013479828328460222,-0.0014049132328439826,-0.0015335357447072166,0.0014345946606182272,-0.003018220021297074,-0.0002618247310037022,-0.0035191179363167372,-0.08183714452598459,0.22434045462919908,-0.00033895461417084963
236,5350202.00,0.0019234630060594284,1845.7951610823436,0.0029482803214368014,6861.292525630336,0,0,0.003184575659852819,0.05962396578973038,1480.972057142858,-1.4114285714285713,-0.34285714285714297,-0.0005853639334168067,-0.0004812993257359094,-0.00031830556919829723,-0.00919806266668688,0.00013111798085050895,-0.001487401360055943,-0.0038606371882086185,-0.002042528420211195,0.0011944067443832636,-0.0035191179363167433,-0.07430682319565877,0.22146793703887518,-1.7248363902694668e-05
237,5350203.00,0.0019234630060594284,1845.7951610823436,0.0029482803214368014,6861.292525630336,0,0,0.003184575659852819,0.04606277607721309,1011.3089142857143,-6.22857142857143,-1.6857142857142866,-0.00153801328536552,-0.0007762182614004524,0.00035388030886606884,-0.01028794670383258,-0.0003431066267826168,-0.002039215005275817,0.0020455093622930008,-0.002489135958371834,0.001647710607886332,-0.0035191179363167095,-0.07953611929475896,0.22352416069598077,-0.00024137156212073
238,5350204.00,0.004246466458691878,2031.1441136339856,0.004493609831887427,8054.241043286607,0,0,0.004532726472280211,0.05674719595839108,745.6344571428575,-22.46857142857143,-1.2000000000000002,0.000713069083903938,-0.0014945275148738626,-0.00073264476227544,-0.011582104629525445,-0.0022832718305164697,-0.0019715632628223823,-3.8994301815025595e-05,0.0010447686904397882,0.001128365158437566,0.0025888416096066158,0.06516727915231356,0.2926588311070593,0.002458296378000573
239,5350205.00,0.004246466458691878,2031.1441136339856,0.004493609831887427,8054.241043286607,0,0,0.004532726472280211,0.0,0.0,0.5828571428571429,0.20400000000000007,-0.007902715350261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002588841609606576,0.06449984887733043,0.29208245408107475,0.002386254270464043
