"ctuid","area_km"
"x",0
5370207.01,5.20
5370207.02,1.64
5370207.03,1.57
5370207.04,0.74
5370208.00,1.72
5370209.00,0.78
5370210.00,1.19
5370211.00,1.75
5370212.00,0.50
5370213.00,0.80
5370214.00,1.08
5370215.00,0.73
5370216.00,2.18
5370217.01,2.19
5370217.02,2.18
5370218.00,4.37
5370219.00,2.37
5370220.00,1.80
5370221.00,1.14
5370222.01,1.93
5370222.02,1.41
5370222.03,1.01
5370223.01,1.62
5370223.02,2.49
5370223.05,0.98
5370223.06,1.44
5370223.07,1.21
5370223.09,2.85
5370223.1,1.25
5370223.12,8.35
5370223.13,1.81
5370223.14,1.58
5370223.15,0.73
5370223.16,0.58
5370224.01,6.11
5370224.02,83.33
5370300.00,46.00
5370301.00,11.11
5370302.00,3.70
5370303.01,1.84
5370303.02,6.28



