"ctuid","area_km"
"x",0
5350196.02,1.11
5350200.01,0.53
5350200.02,0.14
5350201.00,0.75
5350202.00,0.34
5350203.00,0.59
5350204.00,0.74
5350205.00,0.73
5350206.01,1.11
5350206.02,1.09
5350207.00,0.67
5350208.00,1.29
5350209.00,0.69
5350210.01,2.96
5350210.02,0.91
5350211.00,3.27
5350212.00,1.68
5350213.01,0.94
5350213.02,6.99
5350214.00,2.82
5350215.00,2.60
5350216.00,1.98
5350217.00,1.21
5350218.00,0.68
5350219.00,1.36
5350220.00,1.30
5350221.01,1.62
5350221.02,0.81
5350222.01,1.29
5350222.02,1.20
5350223.01,0.87
5350223.02,0.87
5350224.00,1.04
5350225.01,0.93
5350225.02,0.30
5350226.00,0.95
5350227.00,0.49
5350228.00,0.82
5350229.00,0.32
5350230.01,1.45
5350230.02,0.99
5350231.00,3.03
5350232.00,2.05
5350233.00,2.08
5350234.00,2.12
5350235.01,1.41
5350235.02,1.08
5350236.01,0.99
5350236.02,3.95
5350237.01,1.19
5350237.02,0.96
5350237.03,1.07
5350238.01,1.04
5350238.02,0.98
5350239.00,2.53
5350240.01,1.27
5350240.02,1.05
5350241.00,1.09
5350242.00,0.61
5350243.01,0.32
5350243.02,1.22
5350244.01,1.43
5350244.02,1.43
5350245.00,1.42
5350246.00,1.07
5350247.01,17.29
5350247.02,3.23
5350248.02,1.21
5350248.03,3.73
5350248.04,1.48
5350248.05,1.12
5350249.01,0.83
5350249.03,2.96
5350249.04,0.69
5350249.05,0.64
5350250.01,1.38
5350250.02,1.93
5350250.04,0.48
5350250.05,0.67
5350260.01,0.72
5350260.04,0.19
5350260.05,0.25
5350260.06,0.93
5350260.07,0.34
5350261.00,1.91
5350262.01,0.67
5350262.02,2.14
5350263.02,2.01
5350263.03,1.56
5350263.04,0.67
5350264.00,3.47
5350265.00,2.68
5350266.00,2.76
5350267.00,2.71
5350268.00,3.03
5350269.01,0.74
5350269.02,1.74
5350270.01,1.12
5350270.02,0.76
5350271.01,0.89
5350271.02,0.71
5350272.01,0.46
5350272.02,1.00
5350273.01,3.19
5350273.02,1.29
5350274.01,1.52
5350274.02,1.33
5350275.00,1.98
5350276.01,1.23
5350276.02,1.28
5350277.00,1.03
5350278.00,1.33
5350279.01,1.21
5350279.02,1.58
5350280.00,2.14
5350281.01,0.96
5350281.02,0.42
5350282.00,2.22
5350283.01,0.93
5350283.02,1.17
5350284.00,1.41
5350285.00,1.11
5350286.00,3.25
5350287.02,1.06
5350287.03,0.48
5350287.04,0.59
5350288.00,2.63
5350289.00,1.30
5350290.01,0.94
5350290.02,0.35
5350291.02,1.15
5350291.03,0.42
5350291.04,0.52
5350292.00,3.74
5350293.00,1.99
5350294.01,0.86
