,ctuid,pop_elderly_prop,pop_child_prop,pop_immig,pop_nodegree,pop_unemployed,inc_lico_p,inc_total30p,dw_majorrep,dw_lone_prop,dw_no_car,Ai_jobs_transit,Ai_activities_transit,Ai_jobs_auto,Ai_activities_auto,Ai_jobs_ratio,Ai_activities_ratio,Ai_combine,SESi,pop,mean_nonworktrip_time_adult,mean_commute_time_adult,R_trips_per_day,R_activities_per_day
418,5350314.01,,,,,,,,,,,,,,,,,,,,,,,
419,5350314.02,,,,,,,,,,,,,,,,,,,,,,,
420,5350315.01,,,,,,,,,,,,,,,,,,,,,,,
421,5350315.02,,,,,,,,,,,,,,,,,,,,,,,
422,5350315.03,,,,,,,,,,,,,,,,,,,,,,,
423,5350316.01,,,,,,,,,,,,,,,,,,,,,,,
424,5350316.03,,,,,,,,,,,,,,,,,,,,,,,
425,5350316.04,,,,,,,,,,,,,,,,,,,,,,,
426,5350316.05,,,,,,,,,,,,,,,,,,,,,,,
427,5350316.06,,,,,,,,,,,,,,,,,,,,,,,
428,5350317.02,,,,,,,,,,,,,,,,,,,,,,,
429,5350317.03,,,,,,,,,,,,,,,,,,,,,,,
430,5350317.04,,,,,,,,,,,,,,,,,,,,,,,
431,5350317.05,,,,,,,,,,,,,,,,,,,,,,,
432,5350318.00,,,,,,,,,,,,,,,,,,,,,,,
433,5350319.00,,,,,,,,,,,,,,,,,,,,,,,
434,5350320.01,,,,,,,,,,,,,,,,,,,,,,,
435,5350320.02,,,,,,,,,,,,,,,,,,,,,,,
436,5350321.01,,,,,,,,,,,,,,,,,,,,,,,
437,5350321.02,,,,,,,,,,,,,,,,,,,,,,,
438,5350322.01,,,,,,,,,,,,,,,,,,,,,,,
439,5350322.02,,,,,,,,,,,,,,,,,,,,,,,
440,5350323.01,,,,,,,,,,,,,,,,,,,,,,,
441,5350323.02,,,,,,,,,,,,,,,,,,,,,,,
442,5350324.01,,,,,,,,,,,,,,,,,,,,,,,
443,5350324.02,,,,,,,,,,,,,,,,,,,,,,,
444,5350324.03,,,,,,,,,,,,,,,,,,,,,,,
445,5350324.05,,,,,,,,,,,,,,,,,,,,,,,
446,5350324.06,,,,,,,,,,,,,,,,,,,,,,,
447,5350330.00,,,,,,,,,,,,,,,,,,,,,,,
448,5350331.01,,,,,,,,,,,,,,,,,,,,,,,
449,5350331.03,,,,,,,,,,,,,,,,,,,,,,,
450,5350331.04,,,,,,,,,,,,,,,,,,,,,,,
451,5350332.00,,,,,,,,,,,,,,,,,,,,,,,
452,5350333.00,,,,,,,,,,,,,,,,,,,,,,,
453,5350334.00,,,,,,,,,,,,,,,,,,,,,,,
454,5350335.00,,,,,,,,,,,,,,,,,,,,,,,
455,5350336.00,,,,,,,,,,,,,,,,,,,,,,,
456,5350337.01,,,,,,,,,,,,,,,,,,,,,,,
457,5350337.02,,,,,,,,,,,,,,,,,,,,,,,
458,5350338.00,,,,,,,,,,,,,,,,,,,,,,,
459,5350339.00,,,,,,,,,,,,,,,,,,,,,,,
460,5350340.00,,,,,,,,,,,,,,,,,,,,,,,
461,5350341.02,,,,,,,,,,,,,,,,,,,,,,,
462,5350341.03,,,,,,,,,,,,,,,,,,,,,,,
463,5350341.04,,,,,,,,,,,,,,,,,,,,,,,
464,5350342.00,,,,,,,,,,,,,,,,,,,,,,,
465,5350343.00,,,,,,,,,,,,,,,,,,,,,,,
466,5350344.01,,,,,,,,,,,,,,,,,,,,,,,
467,5350344.02,,,,,,,,,,,,,,,,,,,,,,,
468,5350345.00,,,,,,,,,,,,,,,,,,,,,,,
469,5350346.01,,,,,,,,,,,,,,,,,,,,,,,
470,5350346.02,,,,,,,,,,,,,,,,,,,,,,,
471,5350347.00,,,,,,,,,,,,,,,,,,,,,,,
472,5350348.00,,,,,,,,,,,,,,,,,,,,,,,
473,5350349.00,,,,,,,,,,,,,,,,,,,,,,,
474,5350350.00,,,,,,,,,,,,,,,,,,,,,,,
475,5350351.01,,,,,,,,,,,,,,,,,,,,,,,
476,5350351.02,,,,,,,,,,,,,,,,,,,,,,,
477,5350352.00,,,,,,,,,,,,,,,,,,,,,,,
478,5350353.02,,,,,,,,,,,,,,,,,,,,,,,
479,5350353.03,,,,,,,,,,,,,,,,,,,,,,,
480,5350353.04,,,,,,,,,,,,,,,,,,,,,,,
481,5350354.00,,,,,,,,,,,,,,,,,,,,,,,
482,5350355.02,,,,,,,,,,,,,,,,,,,,,,,
483,5350355.04,,,,,,,,,,,,,,,,,,,,,,,
484,5350355.05,,,,,,,,,,,,,,,,,,,,,,,
485,5350355.06,,,,,,,,,,,,,,,,,,,,,,,
486,5350356.00,,,,,,,,,,,,,,,,,,,,,,,
487,5350357.01,,,,,,,,,,,,,,,,,,,,,,,
488,5350357.02,,,,,,,,,,,,,,,,,,,,,,,
489,5350358.01,,,,,,,,,,,,,,,,,,,,,,,
490,5350358.02,,,,,,,,,,,,,,,,,,,,,,,
491,5350358.03,,,,,,,,,,,,,,,,,,,,,,,
492,5350359.00,,,,,,,,,,,,,,,,,,,,,,,
493,5350360.00,,,,,,,,,,,,,,,,,,,,,,,
494,5350361.01,,,,,,,,,,,,,,,,,,,,,,,
495,5350361.02,,,,,,,,,,,,,,,,,,,,,,,
496,5350362.01,,,,,,,,,,,,,,,,,,,,,,,
497,5350362.02,,,,,,,,,,,,,,,,,,,,,,,
498,5350362.03,,,,,,,,,,,,,,,,,,,,,,,
499,5350362.04,,,,,,,,,,,,,,,,,,,,,,,
500,5350363.02,,,,,,,,,,,,,,,,,,,,,,,
501,5350363.04,,,,,,,,,,,,,,,,,,,,,,,
502,5350363.05,,,,,,,,,,,,,,,,,,,,,,,
503,5350363.06,,,,,,,,,,,,,,,,,,,,,,,
504,5350363.07,,,,,,,,,,,,,,,,,,,,,,,
505,5350364.01,,,,,,,,,,,,,,,,,,,,,,,
506,5350364.02,,,,,,,,,,,,,,,,,,,,,,,
507,5350365.00,,,,,,,,,,,,,,,,,,,,,,,
508,5350366.00,,,,,,,,,,,,,,,,,,,,,,,
509,5350367.01,,,,,,,,,,,,,,,,,,,,,,,
510,5350367.02,,,,,,,,,,,,,,,,,,,,,,,
511,5350368.01,,,,,,,,,,,,,,,,,,,,,,,
512,5350368.02,,,,,,,,,,,,,,,,,,,,,,,
513,5350369.00,,,,,,,,,,,,,,,,,,,,,,,
514,5350370.01,,,,,,,,,,,,,,,,,,,,,,,
515,5350370.02,,,,,,,,,,,,,,,,,,,,,,,
516,5350370.03,,,,,,,,,,,,,,,,,,,,,,,
517,5350371.00,,,,,,,,,,,,,,,,,,,,,,,
518,5350372.00,,,,,,,,,,,,,,,,,,,,,,,
519,5350373.00,,,,,,,,,,,,,,,,,,,,,,,
520,5350374.01,,,,,,,,,,,,,,,,,,,,,,,
521,5350374.02,,,,,,,,,,,,,,,,,,,,,,,
522,5350374.03,,,,,,,,,,,,,,,,,,,,,,,
523,5350375.01,,,,,,,,,,,,,,,,,,,,,,,
524,5350375.02,,,,,,,,,,,,,,,,,,,,,,,
525,5350375.03,,,,,,,,,,,,,,,,,,,,,,,
526,5350375.04,,,,,,,,,,,,,,,,,,,,,,,
527,5350375.05,,,,,,,,,,,,,,,,,,,,,,,
528,5350376.01,,,,,,,,,,,,,,,,,,,,,,,
529,5350376.02,,,,,,,,,,,,,,,,,,,,,,,
530,5350376.04,,,,,,,,,,,,,,,,,,,,,,,
531,5350376.05,,,,,,,,,,,,,,,,,,,,,,,
532,5350376.06,,,,,,,,,,,,,,,,,,,,,,,
533,5350376.08,,,,,,,,,,,,,,,,,,,,,,,
534,5350376.09,,,,,,,,,,,,,,,,,,,,,,,
535,5350376.11,,,,,,,,,,,,,,,,,,,,,,,
536,5350376.12,,,,,,,,,,,,,,,,,,,,,,,
537,5350376.13,,,,,,,,,,,,,,,,,,,,,,,
538,5350376.14,,,,,,,,,,,,,,,,,,,,,,,
539,5350376.15,,,,,,,,,,,,,,,,,,,,,,,
540,5350376.16,,,,,,,,,,,,,,,,,,,,,,,
541,5350377.01,,,,,,,,,,,,,,,,,,,,,,,
542,5350377.02,,,,,,,,,,,,,,,,,,,,,,,
543,5350377.03,,,,,,,,,,,,,,,,,,,,,,,
544,5350377.04,,,,,,,,,,,,,,,,,,,,,,,
545,5350377.06,,,,,,,,,,,,,,,,,,,,,,,
546,5350377.07,,,,,,,,,,,,,,,,,,,,,,,
547,5350378.02,,,,,,,,,,,,,,,,,,,,,,,
548,5350378.03,,,,,,,,,,,,,,,,,,,,,,,
549,5350378.04,,,,,,,,,,,,,,,,,,,,,,,
550,5350378.05,,,,,,,,,,,,,,,,,,,,,,,
551,5350378.06,,,,,,,,,,,,,,,,,,,,,,,
552,5350378.07,,,,,,,,,,,,,,,,,,,,,,,
553,5350378.08,,,,,,,,,,,,,,,,,,,,,,,
554,5350378.11,,,,,,,,,,,,,,,,,,,,,,,
555,5350378.12,,,,,,,,,,,,,,,,,,,,,,,
556,5350378.14,,,,,,,,,,,,,,,,,,,,,,,
557,5350378.16,,,,,,,,,,,,,,,,,,,,,,,
558,5350378.17,,,,,,,,,,,,,,,,,,,,,,,
559,5350378.18,,,,,,,,,,,,,,,,,,,,,,,
560,5350378.19,,,,,,,,,,,,,,,,,,,,,,,
561,5350378.20,,,,,,,,,,,,,,,,,,,,,,,
562,5350378.21,,,,,,,,,,,,,,,,,,,,,,,
563,5350378.22,,,,,,,,,,,,,,,,,,,,,,,
564,5350378.23,,,,,,,,,,,,,,,,,,,,,,,
565,5350378.24,,,,,,,,,,,,,,,,,,,,,,,
566,5350378.25,,,,,,,,,,,,,,,,,,,,,,,
567,5350378.26,,,,,,,,,,,,,,,,,,,,,,,
568,5350378.27,,,,,,,,,,,,,,,,,,,,,,,
569,5350378.28,,,,,,,,,,,,,,,,,,,,,,,
570,5350400.02,,,,,,,,,,,,,,,,,,,,,,,
571,5350400.03,,,,,,,,,,,,,,,,,,,,,,,
572,5350400.04,,,,,,,,,,,,,,,,,,,,,,,
573,5350400.06,,,,,,,,,,,,,,,,,,,,,,,
574,5350400.07,,,,,,,,,,,,,,,,,,,,,,,
575,5350400.08,,,,,,,,,,,,,,,,,,,,,,,
576,5350400.11,,,,,,,,,,,,,,,,,,,,,,,
577,5350400.12,,,,,,,,,,,,,,,,,,,,,,,
578,5350400.13,,,,,,,,,,,,,,,,,,,,,,,
579,5350400.14,,,,,,,,,,,,,,,,,,,,,,,
580,5350400.15,,,,,,,,,,,,,,,,,,,,,,,
581,5350400.16,,,,,,,,,,,,,,,,,,,,,,,
582,5350400.17,,,,,,,,,,,,,,,,,,,,,,,
583,5350400.18,,,,,,,,,,,,,,,,,,,,,,,
584,5350400.19,,,,,,,,,,,,,,,,,,,,,,,
585,5350400.20,,,,,,,,,,,,,,,,,,,,,,,
586,5350400.21,,,,,,,,,,,,,,,,,,,,,,,
587,5350400.22,,,,,,,,,,,,,,,,,,,,,,,
588,5350400.23,,,,,,,,,,,,,,,,,,,,,,,
589,5350401.04,,,,,,,,,,,,,,,,,,,,,,,
590,5350401.05,,,,,,,,,,,,,,,,,,,,,,,
591,5350401.06,,,,,,,,,,,,,,,,,,,,,,,
592,5350401.07,,,,,,,,,,,,,,,,,,,,,,,
593,5350401.08,,,,,,,,,,,,,,,,,,,,,,,
594,5350401.09,,,,,,,,,,,,,,,,,,,,,,,
595,5350401.10,,,,,,,,,,,,,,,,,,,,,,,
596,5350401.11,,,,,,,,,,,,,,,,,,,,,,,
597,5350401.13,,,,,,,,,,,,,,,,,,,,,,,
598,5350401.14,,,,,,,,,,,,,,,,,,,,,,,
599,5350401.15,,,,,,,,,,,,,,,,,,,,,,,
600,5350401.17,,,,,,,,,,,,,,,,,,,,,,,
601,5350401.18,,,,,,,,,,,,,,,,,,,,,,,
602,5350401.19,,,,,,,,,,,,,,,,,,,,,,,
603,5350401.20,,,,,,,,,,,,,,,,,,,,,,,
604,5350401.21,,,,,,,,,,,,,,,,,,,,,,,
605,5350401.22,,,,,,,,,,,,,,,,,,,,,,,
606,5350401.23,,,,,,,,,,,,,,,,,,,,,,,
607,5350402.01,,,,,,,,,,,,,,,,,,,,,,,
608,5350402.02,,,,,,,,,,,,,,,,,,,,,,,
609,5350402.03,,,,,,,,,,,,,,,,,,,,,,,
610,5350402.04,,,,,,,,,,,,,,,,,,,,,,,
611,5350402.05,,,,,,,,,,,,,,,,,,,,,,,
612,5350402.06,,,,,,,,,,,,,,,,,,,,,,,
613,5350402.07,,,,,,,,,,,,,,,,,,,,,,,
614,5350402.08,,,,,,,,,,,,,,,,,,,,,,,
615,5350402.09,,,,,,,,,,,,,,,,,,,,,,,
616,5350402.10,,,,,,,,,,,,,,,,,,,,,,,
617,5350402.12,,,,,,,,,,,,,,,,,,,,,,,
618,5350402.13,,,,,,,,,,,,,,,,,,,,,,,
619,5350403.01,,,,,,,,,,,,,,,,,,,,,,,
620,5350403.04,,,,,,,,,,,,,,,,,,,,,,,
621,5350403.05,,,,,,,,,,,,,,,,,,,,,,,
622,5350403.07,,,,,,,,,,,,,,,,,,,,,,,
623,5350403.09,,,,,,,,,,,,,,,,,,,,,,,
624,5350403.10,,,,,,,,,,,,,,,,,,,,,,,
625,5350403.11,,,,,,,,,,,,,,,,,,,,,,,
626,5350403.12,,,,,,,,,,,,,,,,,,,,,,,
627,5350403.13,,,,,,,,,,,,,,,,,,,,,,,
628,5350403.14,,,,,,,,,,,,,,,,,,,,,,,
629,5350403.15,,,,,,,,,,,,,,,,,,,,,,,
630,5350403.16,,,,,,,,,,,,,,,,,,,,,,,
631,5350410.02,,,,,,,,,,,,,,,,,,,,,,,
632,5350410.03,,,,,,,,,,,,,,,,,,,,,,,
633,5350410.04,,,,,,,,,,,,,,,,,,,,,,,
634,5350410.05,,,,,,,,,,,,,,,,,,,,,,,
635,5350410.07,,,,,,,,,,,,,,,,,,,,,,,
636,5350410.09,,,,,,,,,,,,,,,,,,,,,,,
637,5350410.10,,,,,,,,,,,,,,,,,,,,,,,
638,5350410.11,,,,,,,,,,,,,,,,,,,,,,,
639,5350410.12,,,,,,,,,,,,,,,,,,,,,,,
640,5350410.13,,,,,,,,,,,,,,,,,,,,,,,
641,5350410.14,,,,,,,,,,,,,,,,,,,,,,,
642,5350410.15,,,,,,,,,,,,,,,,,,,,,,,
643,5350411.01,,,,,,,,,,,,,,,,,,,,,,,
644,5350411.04,,,,,,,,,,,,,,,,,,,,,,,
645,5350411.07,,,,,,,,,,,,,,,,,,,,,,,
646,5350411.08,,,,,,,,,,,,,,,,,,,,,,,
647,5350411.09,,,,,,,,,,,,,,,,,,,,,,,
648,5350411.12,,,,,,,,,,,,,,,,,,,,,,,
649,5350411.15,,,,,,,,,,,,,,,,,,,,,,,
650,5350411.16,,,,,,,,,,,,,,,,,,,,,,,
651,5350411.17,,,,,,,,,,,,,,,,,,,,,,,
652,5350411.18,,,,,,,,,,,,,,,,,,,,,,,
653,5350411.19,,,,,,,,,,,,,,,,,,,,,,,
654,5350411.21,,,,,,,,,,,,,,,,,,,,,,,
655,5350411.22,,,,,,,,,,,,,,,,,,,,,,,
656,5350411.23,,,,,,,,,,,,,,,,,,,,,,,
657,5350411.24,,,,,,,,,,,,,,,,,,,,,,,
658,5350411.25,,,,,,,,,,,,,,,,,,,,,,,
659,5350411.26,,,,,,,,,,,,,,,,,,,,,,,
660,5350411.27,,,,,,,,,,,,,,,,,,,,,,,
661,5350411.28,,,,,,,,,,,,,,,,,,,,,,,
662,5350411.29,,,,,,,,,,,,,,,,,,,,,,,
663,5350411.30,,,,,,,,,,,,,,,,,,,,,,,
664,5350412.01,,,,,,,,,,,,,,,,,,,,,,,
665,5350412.02,,,,,,,,,,,,,,,,,,,,,,,
666,5350412.04,,,,,,,,,,,,,,,,,,,,,,,
667,5350412.06,,,,,,,,,,,,,,,,,,,,,,,
668,5350412.08,,,,,,,,,,,,,,,,,,,,,,,
669,5350412.10,,,,,,,,,,,,,,,,,,,,,,,
670,5350412.11,,,,,,,,,,,,,,,,,,,,,,,
671,5350412.12,,,,,,,,,,,,,,,,,,,,,,,
672,5350412.13,,,,,,,,,,,,,,,,,,,,,,,
673,5350412.14,,,,,,,,,,,,,,,,,,,,,,,
674,5350412.15,,,,,,,,,,,,,,,,,,,,,,,
675,5350412.18,,,,,,,,,,,,,,,,,,,,,,,
676,5350412.19,,,,,,,,,,,,,,,,,,,,,,,
677,5350412.20,,,,,,,,,,,,,,,,,,,,,,,
678,5350412.21,,,,,,,,,,,,,,,,,,,,,,,
679,5350412.22,,,,,,,,,,,,,,,,,,,,,,,
680,5350412.24,,,,,,,,,,,,,,,,,,,,,,,
681,5350412.25,,,,,,,,,,,,,,,,,,,,,,,
682,5350412.26,,,,,,,,,,,,,,,,,,,,,,,
683,5350413.01,,,,,,,,,,,,,,,,,,,,,,,
684,5350413.02,,,,,,,,,,,,,,,,,,,,,,,
685,5350420.03,,,,,,,,,,,,,,,,,,,,,,,
686,5350420.05,,,,,,,,,,,,,,,,,,,,,,,
687,5350420.06,,,,,,,,,,,,,,,,,,,,,,,
688,5350420.08,,,,,,,,,,,,,,,,,,,,,,,
689,5350420.09,,,,,,,,,,,,,,,,,,,,,,,
690,5350420.10,,,,,,,,,,,,,,,,,,,,,,,
691,5350420.11,,,,,,,,,,,,,,,,,,,,,,,
692,5350420.13,,,,,,,,,,,,,,,,,,,,,,,
693,5350420.14,,,,,,,,,,,,,,,,,,,,,,,
694,5350420.15,,,,,,,,,,,,,,,,,,,,,,,
695,5350421.01,,,,,,,,,,,,,,,,,,,,,,,
696,5350421.04,,,,,,,,,,,,,,,,,,,,,,,
697,5350421.05,,,,,,,,,,,,,,,,,,,,,,,
698,5350421.06,,,,,,,,,,,,,,,,,,,,,,,
699,5350421.07,,,,,,,,,,,,,,,,,,,,,,,
700,5350422.02,,,,,,,,,,,,,,,,,,,,,,,
701,5350422.03,,,,,,,,,,,,,,,,,,,,,,,
702,5350422.04,,,,,,,,,,,,,,,,,,,,,,,
703,5350422.05,,,,,,,,,,,,,,,,,,,,,,,
704,5350422.06,,,,,,,,,,,,,,,,,,,,,,,
705,5350423.01,,,,,,,,,,,,,,,,,,,,,,,
706,5350423.02,,,,,,,,,,,,,,,,,,,,,,,
707,5350424.04,,,,,,,,,,,,,,,,,,,,,,,
708,5350424.05,,,,,,,,,,,,,,,,,,,,,,,
709,5350424.07,,,,,,,,,,,,,,,,,,,,,,,
710,5350424.08,,,,,,,,,,,,,,,,,,,,,,,
711,5350424.09,,,,,,,,,,,,,,,,,,,,,,,
712,5350424.10,,,,,,,,,,,,,,,,,,,,,,,
713,5350424.11,,,,,,,,,,,,,,,,,,,,,,,
714,5350424.13,,,,,,,,,,,,,,,,,,,,,,,
715,5350424.14,,,,,,,,,,,,,,,,,,,,,,,
716,5350424.15,,,,,,,,,,,,,,,,,,,,,,,
717,5350424.16,,,,,,,,,,,,,,,,,,,,,,,
718,5350430.03,,,,,,,,,,,,,,,,,,,,,,,
719,5350430.05,,,,,,,,,,,,,,,,,,,,,,,
720,5350430.06,,,,,,,,,,,,,,,,,,,,,,,
721,5350430.07,,,,,,,,,,,,,,,,,,,,,,,
722,5350430.08,,,,,,,,,,,,,,,,,,,,,,,
723,5350431.01,,,,,,,,,,,,,,,,,,,,,,,
724,5350431.02,,,,,,,,,,,,,,,,,,,,,,,
725,5350440.00,,,,,,,,,,,,,,,,,,,,,,,
726,5350441.02,,,,,,,,,,,,,,,,,,,,,,,
727,5350441.03,,,,,,,,,,,,,,,,,,,,,,,
728,5350441.04,,,,,,,,,,,,,,,,,,,,,,,
729,5350442.02,,,,,,,,,,,,,,,,,,,,,,,
730,5350442.03,,,,,,,,,,,,,,,,,,,,,,,
731,5350442.04,,,,,,,,,,,,,,,,,,,,,,,
732,5350442.05,,,,,,,,,,,,,,,,,,,,,,,
733,5350442.06,,,,,,,,,,,,,,,,,,,,,,,
734,5350450.02,,,,,,,,,,,,,,,,,,,,,,,
735,5350450.03,,,,,,,,,,,,,,,,,,,,,,,
736,5350450.05,,,,,,,,,,,,,,,,,,,,,,,
737,5350450.06,,,,,,,,,,,,,,,,,,,,,,,
738,5350451.01,,,,,,,,,,,,,,,,,,,,,,,
739,5350451.02,,,,,,,,,,,,,,,,,,,,,,,
740,5350451.03,,,,,,,,,,,,,,,,,,,,,,,
741,5350451.05,,,,,,,,,,,,,,,,,,,,,,,
742,5350451.06,,,,,,,,,,,,,,,,,,,,,,,
743,5350451.07,,,,,,,,,,,,,,,,,,,,,,,
744,5350452.01,,,,,,,,,,,,,,,,,,,,,,,
745,5350452.02,,,,,,,,,,,,,,,,,,,,,,,
746,5350452.03,,,,,,,,,,,,,,,,,,,,,,,
747,5350452.05,,,,,,,,,,,,,,,,,,,,,,,
748,5350452.06,,,,,,,,,,,,,,,,,,,,,,,
749,5350452.07,,,,,,,,,,,,,,,,,,,,,,,
750,5350455.00,,,,,,,,,,,,,,,,,,,,,,,
751,5350456.01,,,,,,,,,,,,,,,,,,,,,,,
752,5350456.02,,,,,,,,,,,,,,,,,,,,,,,
753,5350456.03,,,,,,,,,,,,,,,,,,,,,,,
754,5350460.01,,,,,,,,,,,,,,,,,,,,,,,
755,5350460.02,,,,,,,,,,,,,,,,,,,,,,,
756,5350461.01,,,,,,,,,,,,,,,,,,,,,,,
757,5350461.02,,,,,,,,,,,,,,,,,,,,,,,
758,5350470.00,,,,,,,,,,,,,,,,,,,,,,,
759,5350471.00,,,,,,,,,,,,,,,,,,,,,,,
760,5350472.00,,,,,,,,,,,,,,,,,,,,,,,
761,5350473.01,,,,,,,,,,,,,,,,,,,,,,,
762,5350473.02,,,,,,,,,,,,,,,,,,,,,,,
763,5350473.03,,,,,,,,,,,,,,,,,,,,,,,
764,5350474.00,,,,,,,,,,,,,,,,,,,,,,,
765,5350475.00,,,,,,,,,,,,,,,,,,,,,,,
766,5350476.01,,,,,,,,,,,,,,,,,,,,,,,
767,5350476.02,,,,,,,,,,,,,,,,,,,,,,,
768,5350500.01,,,,,,,,,,,,,,,,,,,,,,,
769,5350500.02,,,,,,,,,,,,,,,,,,,,,,,
770,5350501.01,,,,,,,,,,,,,,,,,,,,,,,
771,5350501.02,,,,,,,,,,,,,,,,,,,,,,,
772,5350502.01,,,,,,,,,,,,,,,,,,,,,,,
773,5350502.02,,,,,,,,,,,,,,,,,,,,,,,
774,5350503.00,,,,,,,,,,,,,,,,,,,,,,,
775,5350504.00,,,,,,,,,,,,,,,,,,,,,,,
776,5350505.01,,,,,,,,,,,,,,,,,,,,,,,
777,5350505.02,,,,,,,,,,,,,,,,,,,,,,,
778,5350506.00,,,,,,,,,,,,,,,,,,,,,,,
779,5350507.00,,,,,,,,,,,,,,,,,,,,,,,
780,5350508.00,,,,,,,,,,,,,,,,,,,,,,,
781,5350509.01,,,,,,,,,,,,,,,,,,,,,,,
782,5350509.02,,,,,,,,,,,,,,,,,,,,,,,
783,5350510.00,,,,,,,,,,,,,,,,,,,,,,,
784,5350511.01,,,,,,,,,,,,,,,,,,,,,,,
785,5350511.02,,,,,,,,,,,,,,,,,,,,,,,
786,5350512.00,,,,,,,,,,,,,,,,,,,,,,,
787,5350513.01,,,,,,,,,,,,,,,,,,,,,,,
788,5350513.02,,,,,,,,,,,,,,,,,,,,,,,
789,5350513.03,,,,,,,,,,,,,,,,,,,,,,,
790,5350513.04,,,,,,,,,,,,,,,,,,,,,,,
791,5350514.01,,,,,,,,,,,,,,,,,,,,,,,
792,5350514.02,,,,,,,,,,,,,,,,,,,,,,,
793,5350515.01,,,,,,,,,,,,,,,,,,,,,,,
794,5350515.02,,,,,,,,,,,,,,,,,,,,,,,
795,5350516.01,,,,,,,,,,,,,,,,,,,,,,,
796,5350516.02,,,,,,,,,,,,,,,,,,,,,,,
797,5350516.03,,,,,,,,,,,,,,,,,,,,,,,
798,5350516.04,,,,,,,,,,,,,,,,,,,,,,,
799,5350516.05,,,,,,,,,,,,,,,,,,,,,,,
800,5350516.06,,,,,,,,,,,,,,,,,,,,,,,
801,5350516.08,,,,,,,,,,,,,,,,,,,,,,,
802,5350516.09,,,,,,,,,,,,,,,,,,,,,,,
803,5350516.11,,,,,,,,,,,,,,,,,,,,,,,
804,5350516.16,,,,,,,,,,,,,,,,,,,,,,,
805,5350516.17,,,,,,,,,,,,,,,,,,,,,,,
806,5350516.18,,,,,,,,,,,,,,,,,,,,,,,
807,5350516.20,,,,,,,,,,,,,,,,,,,,,,,
808,5350516.21,,,,,,,,,,,,,,,,,,,,,,,
809,5350516.22,,,,,,,,,,,,,,,,,,,,,,,
810,5350516.23,,,,,,,,,,,,,,,,,,,,,,,
811,5350516.24,,,,,,,,,,,,,,,,,,,,,,,
812,5350516.25,,,,,,,,,,,,,,,,,,,,,,,
813,5350516.26,,,,,,,,,,,,,,,,,,,,,,,
814,5350516.28,,,,,,,,,,,,,,,,,,,,,,,
815,5350516.29,,,,,,,,,,,,,,,,,,,,,,,
816,5350516.30,,,,,,,,,,,,,,,,,,,,,,,
817,5350516.31,,,,,,,,,,,,,,,,,,,,,,,
818,5350516.32,,,,,,,,,,,,,,,,,,,,,,,
819,5350516.37,,,,,,,,,,,,,,,,,,,,,,,
820,5350516.38,,,,,,,,,,,,,,,,,,,,,,,
821,5350516.39,,,,,,,,,,,,,,,,,,,,,,,
822,5350516.40,,,,,,,,,,,,,,,,,,,,,,,
823,5350516.41,,,,,,,,,,,,,,,,,,,,,,,
824,5350516.42,,,,,,,,,,,,,,,,,,,,,,,
825,5350516.43,,,,,,,,,,,,,,,,,,,,,,,
826,5350516.44,,,,,,,,,,,,,,,,,,,,,,,
827,5350516.46,,,,,,,,,,,,,,,,,,,,,,,
828,5350516.47,,,,,,,,,,,,,,,,,,,,,,,
829,5350516.48,,,,,,,,,,,,,,,,,,,,,,,
830,5350516.49,,,,,,,,,,,,,,,,,,,,,,,
831,5350517.00,,,,,,,,,,,,,,,,,,,,,,,
832,5350518.00,,,,,,,,,,,,,,,,,,,,,,,
833,5350519.00,,,,,,,,,,,,,,,,,,,,,,,
834,5350520.01,,,,,,,,,,,,,,,,,,,,,,,
835,5350520.02,,,,,,,,,,,,,,,,,,,,,,,
836,5350520.05,,,,,,,,,,,,,,,,,,,,,,,
837,5350520.07,,,,,,,,,,,,,,,,,,,,,,,
838,5350520.08,,,,,,,,,,,,,,,,,,,,,,,
839,5350520.09,,,,,,,,,,,,,,,,,,,,,,,
840,5350520.10,,,,,,,,,,,,,,,,,,,,,,,
841,5350521.01,,,,,,,,,,,,,,,,,,,,,,,
842,5350521.02,,,,,,,,,,,,,,,,,,,,,,,
843,5350521.03,,,,,,,,,,,,,,,,,,,,,,,
844,5350521.04,,,,,,,,,,,,,,,,,,,,,,,
845,5350521.05,,,,,,,,,,,,,,,,,,,,,,,
846,5350521.06,,,,,,,,,,,,,,,,,,,,,,,
847,5350522.00,,,,,,,,,,,,,,,,,,,,,,,
848,5350523.00,,,,,,,,,,,,,,,,,,,,,,,
849,5350524.01,,,,,,,,,,,,,,,,,,,,,,,
850,5350524.02,,,,,,,,,,,,,,,,,,,,,,,
851,5350525.01,,,,,,,,,,,,,,,,,,,,,,,
852,5350525.02,,,,,,,,,,,,,,,,,,,,,,,
853,5350526.01,,,,,,,,,,,,,,,,,,,,,,,
854,5350526.02,,,,,,,,,,,,,,,,,,,,,,,
855,5350527.01,,,,,,,,,,,,,,,,,,,,,,,
856,5350527.02,,,,,,,,,,,,,,,,,,,,,,,
857,5350527.03,,,,,,,,,,,,,,,,,,,,,,,
858,5350527.04,,,,,,,,,,,,,,,,,,,,,,,
859,5350527.05,,,,,,,,,,,,,,,,,,,,,,,
860,5350527.06,,,,,,,,,,,,,,,,,,,,,,,
861,5350527.07,,,,,,,,,,,,,,,,,,,,,,,
