,ctuid,pop_elderly_prop,pop_child_prop,pop_immig,pop_nodegree,pop_unemployed,inc_lico_p,inc_total30p,dw_majorrep,dw_lone_prop,dw_no_car,Ai_jobs_transit,Ai_activities_transit,Ai_jobs_auto,Ai_activities_auto,Ai_jobs_ratio,Ai_activities_ratio,Ai_combine,SESi,pop,mean_nonworktrip_time_adult,mean_commute_time_adult,R_trips_per_day,R_activities_per_day
96,5350079.00,,,,,,,,,,,,,,,,,,,,,,,
97,5350080.01,,,,,,,,,,,,,,,,,,,,,,,
98,5350080.02,,,,,,,,,,,,,,,,,,,,,,,
99,5350081.00,,,,,,,,,,,,,,,,,,,,,,,
100,5350082.00,,,,,,,,,,,,,,,,,,,,,,,
101,5350083.00,,,,,,,,,,,,,,,,,,,,,,,
102,5350084.00,,,,,,,,,,,,,,,,,,,,,,,
103,5350085.00,,,,,,,,,,,,,,,,,,,,,,,
104,5350086.00,,,,,,,,,,,,,,,,,,,,,,,
105,5350087.00,,,,,,,,,,,,,,,,,,,,,,,
106,5350088.00,,,,,,,,,,,,,,,,,,,,,,,
107,5350089.00,,,,,,,,,,,,,,,,,,,,,,,
108,5350090.00,,,,,,,,,,,,,,,,,,,,,,,
109,5350091.01,,,,,,,,,,,,,,,,,,,,,,,
110,5350091.02,,,,,,,,,,,,,,,,,,,,,,,
111,5350092.00,,,,,,,,,,,,,,,,,,,,,,,
112,5350093.00,,,,,,,,,,,,,,,,,,,,,,,
113,5350094.00,,,,,,,,,,,,,,,,,,,,,,,
114,5350095.00,,,,,,,,,,,,,,,,,,,,,,,
115,5350096.01,,,,,,,,,,,,,,,,,,,,,,,
116,5350096.02,,,,,,,,,,,,,,,,,,,,,,,
117,5350097.01,,,,,,,,,,,,,,,,,,,,,,,
118,5350097.03,,,,,,,,,,,,,,,,,,,,,,,
119,5350097.04,,,,,,,,,,,,,,,,,,,,,,,
120,5350098.00,,,,,,,,,,,,,,,,,,,,,,,
121,5350099.00,,,,,,,,,,,,,,,,,,,,,,,
122,5350100.00,,,,,,,,,,,,,,,,,,,,,,,
123,5350101.00,,,,,,,,,,,,,,,,,,,,,,,
124,5350102.02,,,,,,,,,,,,,,,,,,,,,,,
125,5350102.03,,,,,,,,,,,,,,,,,,,,,,,
126,5350102.04,,,,,,,,,,,,,,,,,,,,,,,
127,5350102.05,,,,,,,,,,,,,,,,,,,,,,,
128,5350103.00,,,,,,,,,,,,,,,,,,,,,,,
129,5350104.00,,,,,,,,,,,,,,,,,,,,,,,
130,5350105.00,,,,,,,,,,,,,,,,,,,,,,,
131,5350106.00,,,,,,,,,,,,,,,,,,,,,,,
132,5350107.00,,,,,,,,,,,,,,,,,,,,,,,
133,5350108.00,,,,,,,,,,,,,,,,,,,,,,,
134,5350109.00,,,,,,,,,,,,,,,,,,,,,,,
135,5350110.00,,,,,,,,,,,,,,,,,,,,,,,
136,5350111.00,,,,,,,,,,,,,,,,,,,,,,,
137,5350112.00,,,,,,,,,,,,,,,,,,,,,,,
138,5350113.00,,,,,,,,,,,,,,,,,,,,,,,
139,5350114.00,,,,,,,,,,,,,,,,,,,,,,,
140,5350115.00,,,,,,,,,,,,,,,,,,,,,,,
141,5350116.00,,,,,,,,,,,,,,,,,,,,,,,
142,5350117.00,,,,,,,,,,,,,,,,,,,,,,,
143,5350118.00,,,,,,,,,,,,,,,,,,,,,,,
144,5350119.00,,,,,,,,,,,,,,,,,,,,,,,
145,5350120.00,,,,,,,,,,,,,,,,,,,,,,,
146,5350121.00,,,,,,,,,,,,,,,,,,,,,,,
147,5350122.00,,,,,,,,,,,,,,,,,,,,,,,
148,5350123.00,,,,,,,,,,,,,,,,,,,,,,,
149,5350124.00,,,,,,,,,,,,,,,,,,,,,,,
150,5350125.00,,,,,,,,,,,,,,,,,,,,,,,
151,5350126.00,,,,,,,,,,,,,,,,,,,,,,,
152,5350127.00,,,,,,,,,,,,,,,,,,,,,,,
153,5350128.02,,,,,,,,,,,,,,,,,,,,,,,
154,5350128.04,,,,,,,,,,,,,,,,,,,,,,,
155,5350128.05,,,,,,,,,,,,,,,,,,,,,,,
156,5350128.06,,,,,,,,,,,,,,,,,,,,,,,
157,5350129.00,,,,,,,,,,,,,,,,,,,,,,,
158,5350130.00,,,,,,,,,,,,,,,,,,,,,,,
159,5350131.00,,,,,,,,,,,,,,,,,,,,,,,
160,5350132.00,,,,,,,,,,,,,,,,,,,,,,,
161,5350133.00,,,,,,,,,,,,,,,,,,,,,,,
162,5350134.00,,,,,,,,,,,,,,,,,,,,,,,
163,5350135.00,,,,,,,,,,,,,,,,,,,,,,,
164,5350136.01,,,,,,,,,,,,,,,,,,,,,,,
165,5350136.02,,,,,,,,,,,,,,,,,,,,,,,
166,5350137.00,,,,,,,,,,,,,,,,,,,,,,,
167,5350138.00,,,,,,,,,,,,,,,,,,,,,,,
168,5350139.01,,,,,,,,,,,,,,,,,,,,,,,
169,5350139.02,,,,,,,,,,,,,,,,,,,,,,,
170,5350140.00,,,,,,,,,,,,,,,,,,,,,,,
171,5350141.01,,,,,,,,,,,,,,,,,,,,,,,
172,5350141.02,,,,,,,,,,,,,,,,,,,,,,,
173,5350142.00,,,,,,,,,,,,,,,,,,,,,,,
174,5350150.00,,,,,,,,,,,,,,,,,,,,,,,
175,5350151.00,,,,,,,,,,,,,,,,,,,,,,,
176,5350152.00,,,,,,,,,,,,,,,,,,,,,,,
177,5350153.00,,,,,,,,,,,,,,,,,,,,,,,
178,5350154.00,,,,,,,,,,,,,,,,,,,,,,,
179,5350155.00,,,,,,,,,,,,,,,,,,,,,,,
180,5350156.01,,,,,,,,,,,,,,,,,,,,,,,
181,5350156.02,,,,,,,,,,,,,,,,,,,,,,,
182,5350157.00,,,,,,,,,,,,,,,,,,,,,,,
183,5350158.00,,,,,,,,,,,,,,,,,,,,,,,
184,5350159.01,,,,,,,,,,,,,,,,,,,,,,,
185,5350159.02,,,,,,,,,,,,,,,,,,,,,,,
186,5350160.00,,,,,,,,,,,,,,,,,,,,,,,
187,5350161.00,,,,,,,,,,,,,,,,,,,,,,,
188,5350162.00,,,,,,,,,,,,,,,,,,,,,,,
189,5350163.00,,,,,,,,,,,,,,,,,,,,,,,
190,5350164.00,,,,,,,,,,,,,,,,,,,,,,,
191,5350165.00,,,,,,,,,,,,,,,,,,,,,,,
192,5350166.00,,,,,,,,,,,,,,,,,,,,,,,
193,5350167.01,,,,,,,,,,,,,,,,,,,,,,,
194,5350167.02,,,,,,,,,,,,,,,,,,,,,,,
195,5350168.00,,,,,,,,,,,,,,,,,,,,,,,
196,5350169.01,,,,,,,,,,,,,,,,,,,,,,,
197,5350169.02,,,,,,,,,,,,,,,,,,,,,,,
198,5350170.00,,,,,,,,,,,,,,,,,,,,,,,
199,5350171.00,,,,,,,,,,,,,,,,,,,,,,,
200,5350172.00,,,,,,,,,,,,,,,,,,,,,,,
201,5350173.00,,,,,,,,,,,,,,,,,,,,,,,
202,5350174.00,,,,,,,,,,,,,,,,,,,,,,,
203,5350175.01,,,,,,,,,,,,,,,,,,,,,,,
204,5350175.02,,,,,,,,,,,,,,,,,,,,,,,
205,5350176.00,,,,,,,,,,,,,,,,,,,,,,,
206,5350180.00,,,,,,,,,,,,,,,,,,,,,,,
207,5350181.01,,,,,,,,,,,,,,,,,,,,,,,
208,5350181.02,,,,,,,,,,,,,,,,,,,,,,,
209,5350182.00,,,,,,,,,,,,,,,,,,,,,,,
210,5350183.01,,,,,,,,,,,,,,,,,,,,,,,
211,5350183.02,,,,,,,,,,,,,,,,,,,,,,,
212,5350184.01,,,,,,,,,,,,,,,,,,,,,,,
213,5350184.02,,,,,,,,,,,,,,,,,,,,,,,
214,5350185.01,,,,,,,,,,,,,,,,,,,,,,,
215,5350185.02,,,,,,,,,,,,,,,,,,,,,,,
216,5350186.00,,,,,,,,,,,,,,,,,,,,,,,
217,5350187.00,,,,,,,,,,,,,,,,,,,,,,,
218,5350188.00,,,,,,,,,,,,,,,,,,,,,,,
219,5350189.00,,,,,,,,,,,,,,,,,,,,,,,
220,5350190.01,,,,,,,,,,,,,,,,,,,,,,,
221,5350190.02,,,,,,,,,,,,,,,,,,,,,,,
222,5350191.00,,,,,,,,,,,,,,,,,,,,,,,
223,5350192.00,,,,,,,,,,,,,,,,,,,,,,,
224,5350193.00,,,,,,,,,,,,,,,,,,,,,,,
225,5350194.01,,,,,,,,,,,,,,,,,,,,,,,
226,5350194.02,,,,,,,,,,,,,,,,,,,,,,,
227,5350194.03,,,,,,,,,,,,,,,,,,,,,,,
228,5350194.04,,,,,,,,,,,,,,,,,,,,,,,
229,5350195.01,,,,,,,,,,,,,,,,,,,,,,,
230,5350195.02,,,,,,,,,,,,,,,,,,,,,,,
231,5350196.01,,,,,,,,,,,,,,,,,,,,,,,
232,5350196.02,,,,,,,,,,,,,,,,,,,,,,,
233,5350200.01,,,,,,,,,,,,,,,,,,,,,,,
234,5350200.02,,,,,,,,,,,,,,,,,,,,,,,
235,5350201.00,,,,,,,,,,,,,,,,,,,,,,,
236,5350202.00,,,,,,,,,,,,,,,,,,,,,,,
237,5350203.00,,,,,,,,,,,,,,,,,,,,,,,
238,5350204.00,,,,,,,,,,,,,,,,,,,,,,,
239,5350205.00,,,,,,,,,,,,,,,,,,,,,,,
240,5350206.01,,,,,,,,,,,,,,,,,,,,,,,
241,5350206.02,,,,,,,,,,,,,,,,,,,,,,,
242,5350207.00,,,,,,,,,,,,,,,,,,,,,,,
243,5350208.00,,,,,,,,,,,,,,,,,,,,,,,
244,5350209.00,,,,,,,,,,,,,,,,,,,,,,,
245,5350210.01,,,,,,,,,,,,,,,,,,,,,,,
246,5350210.02,,,,,,,,,,,,,,,,,,,,,,,
247,5350211.00,,,,,,,,,,,,,,,,,,,,,,,
248,5350212.00,,,,,,,,,,,,,,,,,,,,,,,
249,5350213.01,,,,,,,,,,,,,,,,,,,,,,,
