,ct_year,SESi
244,1991_5350132.00,0.8206944944973827
245,1991_5350133.00,-0.1933882419590359
246,1991_5350134.00,2.0347782350643864
247,1991_5350135.00,1.1312143399235153
248,1991_5350136.01,0.46274516435941937
249,1991_5350136.02,0.46274516435941937
250,1991_5350137.00,1.2372711051370862
251,1991_5350138.00,3.0931660607747884
252,1991_5350139.01,2.3277087702727703
253,1991_5350139.02,2.3277087702727703
254,1991_5350140.00,2.9125530612511756
255,1991_5350141.01,2.321057950075351
256,1991_5350141.02,1.4835763214737954
257,1991_5350142.00,2.1035266852373735
258,1991_5350150.00,2.0766321072185496
259,1991_5350151.00,-1.8524848105654221
260,1991_5350152.00,-0.07840006127480158
261,1991_5350153.00,-2.0411307237470777
262,1991_5350154.00,0.12756254683757343
263,1991_5350155.00,-4.253535047851309
264,1991_5350156.01,-4.6419420775686255
265,1991_5350156.02,-2.819647681138185
266,1991_5350157.00,-3.1955708927767796
267,1991_5350158.00,-3.594383934490122
268,1991_5350159.01,-2.7044219510322716
269,1991_5350159.02,-2.7044219510322716
270,1991_5350160.00,-1.4068708284871134
271,1991_5350161.00,-2.5466978607110473
272,1991_5350162.00,-2.0179651720546006
273,1991_5350163.00,-2.0191950666429213
274,1991_5350164.00,-2.0823814129879263
275,1991_5350165.00,-1.3875511947573036
276,1991_5350166.00,1.7716531799067943
277,1991_5350167.01,0.8904823378180086
278,1991_5350167.02,-1.3037847687629867
279,1991_5350168.00,-2.305194620111386
280,1991_5350169.01,-2.199571140720766
281,1991_5350169.02,-1.9876368226955081
282,1991_5350170.00,-1.2931020315534727
283,1991_5350171.00,-2.5446859844557697
284,1991_5350172.00,-2.9909873814599495
285,1991_5350173.00,-2.8856894234458186
286,1991_5350174.00,-2.0636542785142686
287,1991_5350175.01,-2.809278324606945
288,1991_5350175.02,-2.4858886984791257
289,1991_5350176.00,0.4544541355551736
290,1991_5350180.00,-2.310781764734698
291,1991_5350181.01,-1.044184600831291
292,1991_5350181.02,-1.7171551516291137
293,1991_5350182.00,-0.9610029401129664
294,1991_5350183.01,-0.24235580700297635
295,1991_5350183.02,-0.24235580700297635
296,1991_5350184.01,-0.9108095020008066
297,1991_5350184.02,-0.4905163460449657
298,1991_5350185.01,-1.700995369582493
299,1991_5350185.02,-1.2278248401848373
300,1991_5350186.00,2.5127815622033842
301,1991_5350187.00,0.4701646827415317
302,1991_5350188.00,0.7300383147572734
303,1991_5350189.00,-0.13175880799956297
304,1991_5350190.01,-2.8395013959744153
305,1991_5350190.02,-1.6802644616226432
306,1991_5350191.00,-0.6038681688386377
307,1991_5350192.00,-1.4083727999317348
308,1991_5350193.00,0.8261856769915534
309,1991_5350194.01,-1.503724607422241
310,1991_5350194.02,-1.503724607422241
311,1991_5350194.03,-1.503724607422241
312,1991_5350194.04,-1.503724607422241
313,1991_5350195.01,1.4227203198723049
314,1991_5350195.02,1.4227203198723049
315,1991_5350196.01,2.4970599749698383
316,1991_5350196.02,2.4970599749698383
317,1991_5350200.01,-2.590349937185615
318,1991_5350200.02,-2.590349937185615
319,1991_5350201.00,-1.9182675297084841
320,1991_5350202.00,0.3206339698021334
321,1991_5350203.00,-1.214237775993075
322,1991_5350204.00,-0.9969984610163117
324,1991_5350206.01,-1.4323563565046356
325,1991_5350206.02,-1.6653121149425965
326,1991_5350207.00,-3.4942368458462303
327,1991_5350208.00,-4.910176351473915
328,1991_5350209.00,-1.5093149582929046
329,1991_5350210.01,0.33468809340801337
330,1991_5350210.02,0.33468809340801337
331,1991_5350211.00,0.35362612638336477
332,1991_5350212.00,0.708518959720333
333,1991_5350213.01,1.700467038545128
334,1991_5350213.02,1.700467038545128
335,1991_5350214.00,0.4802296829639607
336,1991_5350215.00,0.299768698107151
337,1991_5350216.00,1.8590709452854584
338,1991_5350217.00,-1.7160109154134475
339,1991_5350218.00,2.4535033118589373
340,1991_5350219.00,1.2873176360252088
341,1991_5350220.00,1.3857433887625348
342,1991_5350221.01,1.9948166302867985
343,1991_5350221.02,-0.8365139155330227
344,1991_5350222.01,0.5035262699570745
345,1991_5350222.02,-1.0834789367672824
346,1991_5350223.01,2.277304162138312
347,1991_5350223.02,2.277304162138312
348,1991_5350224.00,2.9287017728037923
349,1991_5350225.01,-0.38174644597903673
350,1991_5350225.02,-0.38174644597903673
351,1991_5350226.00,2.3218923999676004
352,1991_5350227.00,3.696581379764744
353,1991_5350228.00,2.5401805705942775
354,1991_5350229.00,1.4684729290253817
355,1991_5350230.01,2.2973372727644197
356,1991_5350230.02,1.4575030367157429
357,1991_5350231.00,1.8725300950064927
358,1991_5350232.00,3.375769164166643
359,1991_5350233.00,2.688437932904718
360,1991_5350234.00,0.5779686544136241
361,1991_5350235.01,1.5784932113329901
362,1991_5350235.02,0.6053403106637232
363,1991_5350236.01,0.06789051525739744
364,1991_5350236.02,1.041222417386302
365,1991_5350237.01,-1.9469086466738335
366,1991_5350237.02,1.4512025463221925
367,1991_5350237.03,0.6181864661095483
368,1991_5350238.01,2.8535120710899395
369,1991_5350238.02,-0.1495909463928521
370,1991_5350239.00,-1.1766218576176501
371,1991_5350240.01,2.1914731747347074
372,1991_5350240.02,0.61191186223857
373,1991_5350241.00,1.5814216789059121
374,1991_5350242.00,-2.721351717141061
375,1991_5350243.01,-2.9917079156250153
376,1991_5350243.02,0.9208775307931556
377,1991_5350244.01,0.5227973663500585
378,1991_5350244.02,-3.672873796010604
379,1991_5350245.00,-0.8824219326851543
380,1991_5350246.00,0.46703564123554786
381,1991_5350247.01,0.8825056718665146
382,1991_5350247.02,0.8825056718665146
383,1991_5350248.02,-4.314150814371373
384,1991_5350248.03,-0.7812309750319605
385,1991_5350248.04,-0.6000583882875716
386,1991_5350248.05,-0.6000583882875684
387,1991_5350249.01,-0.39403703681962554
388,1991_5350249.03,0.16873739763502243
389,1991_5350249.04,-2.9493698768137984
390,1991_5350249.05,-2.9493698768137984
391,1991_5350250.01,-0.017194337913140647
392,1991_5350250.02,0.5329746769162574
393,1991_5350250.04,-4.718092063401011
394,1991_5350250.05,-4.718092063401011
395,1991_5350260.01,-2.639141406393254
396,1991_5350260.04,-4.928103329473559
397,1991_5350260.05,-4.928103329473559
398,1991_5350260.06,-2.8261508342314823
399,1991_5350260.07,-2.8261508342314805
400,1991_5350261.00,-3.8139701255367755
401,1991_5350262.01,-0.9243411691530703
402,1991_5350262.02,0.03048542433864068
403,1991_5350263.02,1.054404231128655
404,1991_5350263.03,0.3055178679484038
405,1991_5350263.04,0.3055178679484038
406,1991_5350264.00,3.04493369277162
407,1991_5350265.00,4.169297809441895
408,1991_5350266.00,3.3531829188329128
409,1991_5350267.00,3.573716907864089
410,1991_5350268.00,1.3848659611635954
411,1991_5350269.01,0.20051813473859992
412,1991_5350269.02,0.20051813473859992
413,1991_5350270.01,0.2976024667301413
414,1991_5350270.02,0.6562355893855351
415,1991_5350271.01,1.1606403383475759
416,1991_5350271.02,-0.011889693846311519
417,1991_5350272.01,-1.8788241631862939
418,1991_5350272.02,-0.04353085973212017
419,1991_5350273.01,2.4860431406932118
420,1991_5350273.02,1.351227535457154
421,1991_5350274.01,0.6244650042353351
422,1991_5350274.02,2.158113692000983
423,1991_5350275.00,2.837609063656858
424,1991_5350276.01,1.2587300924860083
425,1991_5350276.02,1.359519726223328
426,1991_5350277.00,2.327853704748962
427,1991_5350278.00,0.8119306288334655
428,1991_5350279.01,0.4196459998823145
429,1991_5350279.02,-2.3679372060865287
430,1991_5350280.00,-2.2600802305144674
431,1991_5350281.01,-3.2886083611873462
432,1991_5350281.02,-3.2886083611873334
433,1991_5350282.00,0.9648157996347982
434,1991_5350283.01,-3.029808393963939
435,1991_5350283.02,-2.9483023814325198
436,1991_5350284.00,-1.3461159585585734
437,1991_5350285.00,0.23256352620244505
438,1991_5350286.00,-1.542701495795124
439,1991_5350287.02,-1.7075687172461067
440,1991_5350287.03,-2.933175929558982
441,1991_5350287.04,-2.933175929558994
442,1991_5350288.00,-0.8406847720130058
443,1991_5350289.00,-1.2833168765765437
444,1991_5350290.01,-1.849388946001664
445,1991_5350290.02,-1.849388946001664
446,1991_5350291.02,-0.5703755091606104
447,1991_5350291.03,-1.0486530357981279
448,1991_5350291.04,-1.0486530357981279
449,1991_5350292.00,-2.7411894080788426
450,1991_5350293.00,-0.9233341108360305
451,1991_5350294.01,-2.230361360217965
452,1991_5350294.02,-0.4936574165792257
453,1991_5350295.00,-1.94941862943677
454,1991_5350296.00,2.8589195484234446
455,1991_5350297.01,-0.4212670493147654
456,1991_5350297.02,-1.005403017880267
457,1991_5350298.00,1.4988549272551916
458,1991_5350299.01,0.9615766348783269
459,1991_5350299.02,0.9615766348783269
460,1991_5350300.00,1.5297968550118368
461,1991_5350301.01,2.034122548986901
462,1991_5350301.03,-2.027409558148612
463,1991_5350301.04,-2.027409558148612
464,1991_5350302.01,0.6202912973945027
465,1991_5350302.02,-0.6128141989887801
466,1991_5350302.03,-0.4329199436168457
467,1991_5350303.00,-2.893553492176363
468,1991_5350304.01,-2.1079101199797083
469,1991_5350304.02,2.1113730190016953
470,1991_5350304.03,0.04720513168457434
471,1991_5350304.04,-1.6416859650992406
472,1991_5350304.05,0.9427316766361286
473,1991_5350304.06,-0.6106525499781607
474,1991_5350305.01,1.60960895165481
475,1991_5350305.03,1.60960895165481
476,1991_5350305.04,1.60960895165481
477,1991_5350306.01,0.3313820170729832
478,1991_5350306.02,0.3313820170729832
479,1991_5350307.03,0.5100229891670999
480,1991_5350307.04,0.5100229891670999
481,1991_5350307.05,0.5100229891670999
482,1991_5350307.06,0.5100229891670999
483,1991_5350307.07,0.5100229891670999
484,1991_5350308.02,0.6875742188565707
485,1991_5350308.03,0.7730450013975922
486,1991_5350308.04,0.7730450013975922
487,1991_5350309.00,-2.6002183983339164
488,1991_5350310.01,0.9542563863600054
489,1991_5350310.02,-0.9514302258573883
490,1991_5350311.02,-0.14786312856343703
491,1991_5350311.03,-0.069897079223947
492,1991_5350311.04,-1.1788361043279614
493,1991_5350311.05,-2.3599548885336237
494,1991_5350311.06,-2.3599548885336237
495,1991_5350312.02,-3.268013869210116
496,1991_5350312.03,-1.5805876165970352
497,1991_5350312.04,-4.726493420987186
498,1991_5350312.05,-5.404732281121167
499,1991_5350312.06,-0.9557691644792483
500,1991_5350312.07,-0.9557691644792483
501,1991_5350313.00,-0.792534529653711
502,1991_5350314.01,-3.729497089378478
503,1991_5350314.02,-0.754921332402657
504,1991_5350315.01,0.6766340734416827
505,1991_5350315.02,-2.6072338104760235
506,1991_5350315.03,-0.5528412698962408
507,1991_5350316.01,-0.08558008639500371
508,1991_5350316.03,-4.3051954156016246
509,1991_5350316.04,-5.58584885444743
510,1991_5350316.05,-5.052788074029472
511,1991_5350316.06,-5.052788074029472
512,1991_5350317.02,-2.7747641455343266
513,1991_5350317.03,0.3989932376664643
514,1991_5350317.04,-1.4909129839693602
515,1991_5350317.05,-1.4909129839693602
516,1991_5350318.00,-0.5238892314500634
517,1991_5350319.00,0.4771643427539598
518,1991_5350320.01,-2.0329058904443116
519,1991_5350320.02,-0.13605155973884142
520,1991_5350321.01,1.4621598543247625
521,1991_5350321.02,1.4621598543247625
522,1991_5350322.01,-0.07920589463876883
523,1991_5350322.02,-0.07920589463876883
524,1991_5350323.01,1.5938083748142617
525,1991_5350323.02,1.948759630740317
526,1991_5350324.01,-0.15440551020555954
527,1991_5350324.02,0.16239083135437296
528,1991_5350324.03,1.0233341110028975
529,1991_5350324.05,-0.6099912904486917
530,1991_5350324.06,-0.6099912904486917
531,1991_5350330.00,1.919219009285986
532,1991_5350331.01,0.8501200759146944
533,1991_5350331.03,-3.072729465648787
534,1991_5350331.04,-3.072729465648787
535,1991_5350332.00,-2.736213707566761
536,1991_5350333.00,1.07228794853262
537,1991_5350334.00,1.81443937821893
538,1991_5350335.00,-0.10085526647288416
539,1991_5350336.00,-0.09417843175140062
540,1991_5350337.01,-1.0168172769715735
541,1991_5350337.02,-1.0168172769715789
542,1991_5350338.00,0.3179368027720557
543,1991_5350339.00,1.170590256344226
544,1991_5350340.00,-0.4048851433863762
545,1991_5350341.02,-1.5175838803614186
546,1991_5350341.03,-4.696896152317534
547,1991_5350341.04,-4.696896152317534
548,1991_5350342.00,-1.5450048237761753
549,1991_5350343.00,-1.9926953566322279
550,1991_5350344.01,-2.372724441836523
551,1991_5350344.02,-2.372724441836523
552,1991_5350345.00,-0.26089989842876926
553,1991_5350346.01,-2.967288683664325
554,1991_5350346.02,-2.6398926711176274
555,1991_5350347.00,0.35939769437557056
556,1991_5350348.00,0.7836855774348493
557,1991_5350349.00,-1.4107123970299513
558,1991_5350350.00,0.9872468234924154
559,1991_5350351.01,-0.33717535600535936
560,1991_5350351.02,-0.33717535600535936
561,1991_5350352.00,-0.9143181653110883
562,1991_5350353.02,-0.5776924640302329
563,1991_5350353.03,-2.053697243530766
564,1991_5350353.04,-2.053697243530766
565,1991_5350354.00,0.17193704768100002
566,1991_5350355.02,-0.5254045744293326
567,1991_5350355.04,-3.6121044551475356
568,1991_5350355.05,-3.6121044551475356
569,1991_5350355.06,-3.6121044551475356
570,1991_5350356.00,1.1147055960612355
571,1991_5350357.01,-3.891239853804616
572,1991_5350357.02,-5.07747414497767
573,1991_5350358.01,-0.1321512494619116
574,1991_5350358.02,-2.2747767402690884
575,1991_5350358.03,-2.356453362980076
576,1991_5350359.00,-2.8251459713316622
577,1991_5350360.00,0.8476134610582395
578,1991_5350361.01,2.7046545246789453
579,1991_5350361.02,1.8943551747723744
580,1991_5350362.01,-0.15946532477951114
581,1991_5350362.02,0.30056666920503633
582,1991_5350362.03,1.3759727607782966
583,1991_5350362.04,1.2670475124762055
584,1991_5350363.02,0.8988208493570595
585,1991_5350363.04,-2.509477722932842
586,1991_5350363.05,-2.509477722932842
588,1991_5350363.07,-4.82543566734304
589,1991_5350364.01,0.12588803979583862
590,1991_5350364.02,0.4264995120355011
591,1991_5350365.00,0.31877973149367006
592,1991_5350366.00,-0.9317966077926015
593,1991_5350367.01,-2.1208823552525518
594,1991_5350367.02,1.2416558490906324
596,1991_5350368.02,0.7569961332316992
597,1991_5350369.00,0.386592811000941
598,1991_5350370.01,-3.6613654320188815
599,1991_5350370.02,-1.1297817166730437
600,1991_5350370.03,-0.40215446783226805
601,1991_5350371.00,0.375866193342615
602,1991_5350372.00,0.48606188623533664
603,1991_5350373.00,-1.070910079970137
604,1991_5350374.01,0.5307253592524627
605,1991_5350374.02,-0.3900449843398496
606,1991_5350374.03,-1.5268803762568965
607,1991_5350375.01,-1.9295535353766846
608,1991_5350375.02,2.2400022323228543
609,1991_5350375.03,-0.7622471662501956
610,1991_5350375.04,-1.2813030004991672
611,1991_5350375.05,0.11759083353729884
612,1991_5350376.01,-2.7310093690018995
613,1991_5350376.02,-1.8024012948646082
614,1991_5350376.04,-0.47595301056891437
615,1991_5350376.05,0.7397543669731805
617,1991_5350376.08,-1.7044198686187595
618,1991_5350376.09,-0.6626743433396913
619,1991_5350376.11,-0.7928602084225986
620,1991_5350376.12,-0.7928602084225986
621,1991_5350376.13,-0.011405800732665412
622,1991_5350376.14,-0.011405800732665412
623,1991_5350376.15,-0.5515175982152832
624,1991_5350376.16,-0.5515175982152832
625,1991_5350377.01,-0.3541893631853551
626,1991_5350377.02,0.5251752880918799
627,1991_5350377.03,0.4880982551029603
628,1991_5350377.04,-1.1631130837702661
629,1991_5350377.06,-0.17354052440236012
630,1991_5350377.07,-0.17354052440236428
631,1991_5350378.02,-0.8047761799505151
632,1991_5350378.03,-1.0945533152285987
633,1991_5350378.04,-0.26308643344939997
634,1991_5350378.05,-0.6878577604674164
635,1991_5350378.06,-1.3336207579109034
636,1991_5350378.07,-0.5399307879406886
637,1991_5350378.08,-0.8718059576231075
638,1991_5350378.11,-0.7323921551744369
639,1991_5350378.12,-1.9498902435157983
640,1991_5350378.14,-2.606981394081903
641,1991_5350378.16,-0.44915054575608215
642,1991_5350378.17,-0.44915054575608215
643,1991_5350378.18,-1.4042673790249423
644,1991_5350378.19,-1.4042673790249423
646,1991_5350378.21,-0.9136615828972314
647,1991_5350378.22,-0.9136615828972314
648,1991_5350378.23,0.9268473316063089
649,1991_5350378.24,0.9268473316063089
650,1991_5350378.25,-0.43783723360836796
651,1991_5350378.26,-0.43783723360836796
652,1991_5350378.27,-0.43783723360836796
653,1991_5350378.28,-0.43783723360836796
654,1991_5350400.02,2.44368469149552
655,1991_5350400.03,2.2993385674661675
656,1991_5350400.04,2.206747970436353
657,1991_5350400.06,2.2095013874120277
658,1991_5350400.07,2.4883318573603996
659,1991_5350400.08,1.284377911011306
660,1991_5350400.11,-0.04627092922202383
661,1991_5350400.12,1.6234877421831935
662,1991_5350400.13,-0.23765644786150192
663,1991_5350400.14,-0.23765644786150192
664,1991_5350400.15,2.673316031330433
665,1991_5350400.16,2.673316031330433
666,1991_5350400.17,-1.5862622871466756
667,1991_5350400.18,-1.5862622871466756
668,1991_5350400.19,1.559578384876981
671,1991_5350400.22,1.559578384876981
672,1991_5350400.23,1.559578384876981
673,1991_5350401.04,0.19590769428868052
675,1991_5350401.06,2.1950993745401663
676,1991_5350401.07,2.460690312245689
677,1991_5350401.08,2.5480147962413118
678,1991_5350401.09,1.9843029581777987
680,1991_5350401.11,-0.5816680201876789
681,1991_5350401.13,-0.4228754993078904
682,1991_5350401.14,1.5913368727023818
683,1991_5350401.15,1.5913368727023818
684,1991_5350401.17,1.3435055127849929
685,1991_5350401.18,0.05098306322244016
686,1991_5350401.19,0.05098306322244016
688,1991_5350401.21,-1.1112190711121286
689,1991_5350401.22,1.3435055127849929
690,1991_5350401.23,1.3435055127849929
691,1991_5350402.01,1.0285643301724132
692,1991_5350402.02,1.3364987005400215
693,1991_5350402.03,2.7556941427958144
694,1991_5350402.04,2.2775148539197825
695,1991_5350402.05,1.9321472034923661
696,1991_5350402.06,0.2950419463312472
697,1991_5350402.07,1.5480359101258152
698,1991_5350402.08,1.2672012761924862
699,1991_5350402.09,2.4569528065236153
701,1991_5350402.12,2.5850617310394455
702,1991_5350402.13,2.5850617310394455
703,1991_5350403.01,1.875910626426735
704,1991_5350403.04,1.875910626426735
705,1991_5350403.05,1.875910626426735
706,1991_5350403.07,1.875910626426735
707,1991_5350403.09,1.875910626426735
709,1991_5350403.11,1.875910626426735
710,1991_5350403.12,1.875910626426735
711,1991_5350403.13,2.4100813567592665
712,1991_5350403.14,2.2993385674661675
713,1991_5350403.15,1.875910626426735
714,1991_5350403.16,1.875910626426735
715,1991_5350410.02,1.5779546672489866
716,1991_5350410.03,1.8258640839357738
717,1991_5350410.04,1.9987350713538965
718,1991_5350410.05,2.0052877277662646
719,1991_5350410.07,1.583712284376433
720,1991_5350410.09,1.4895064236981699
722,1991_5350410.11,1.4895064236981717
723,1991_5350410.12,-0.02880338909604757
724,1991_5350410.13,-0.02880338909604757
725,1991_5350410.14,0.47350442630318573
726,1991_5350410.15,0.47350442630318573
727,1991_5350411.01,1.399022194790269
728,1991_5350411.04,1.6092121827642312
729,1991_5350411.07,1.5232563290945766
730,1991_5350411.08,1.9239116427633476
733,1991_5350411.15,1.3856920518373177
734,1991_5350411.16,1.9239116427633476
735,1991_5350411.17,1.9239116427633476
736,1991_5350411.18,1.6409174314686812
737,1991_5350411.19,1.9239116427633476
738,1991_5350411.21,1.5232563290945766
739,1991_5350411.22,1.5232563290945715
740,1991_5350411.23,1.5232563290945766
741,1991_5350411.24,1.3856920518373177
743,1991_5350411.26,1.3856920518373177
744,1991_5350411.27,1.3856920518373177
746,1991_5350411.29,1.9239116427633476
748,1991_5350412.01,1.8143769547023423
749,1991_5350412.02,0.5913918083453109
750,1991_5350412.04,1.5583764378467806
751,1991_5350412.06,1.509059431334518
752,1991_5350412.08,0.8513787737245724
754,1991_5350412.11,1.670697826001911
755,1991_5350412.12,1.3339692254598687
756,1991_5350412.13,1.3339692254598687
757,1991_5350412.14,2.831955736860226
758,1991_5350412.15,2.857692968103465
759,1991_5350412.18,2.052368417464315
760,1991_5350412.19,2.052368417464315
762,1991_5350412.21,2.052368417464315
763,1991_5350412.22,2.052368417464315
764,1991_5350412.24,2.052368417464315
765,1991_5350412.25,2.052368417464315
766,1991_5350412.26,2.052368417464315
767,1991_5350413.01,3.2471474944656955
768,1991_5350413.02,3.2471474944656955
769,1991_5350420.03,1.631991408020589
770,1991_5350420.05,0.6636998755077748
771,1991_5350420.06,0.6636998755077748
772,1991_5350420.08,0.7107775633021234
773,1991_5350420.09,0.6851314387489589
775,1991_5350420.11,1.5863868979717224
776,1991_5350420.13,0.6636998755077748
777,1991_5350420.14,0.6636998755077748
778,1991_5350420.15,0.6636998755077748
779,1991_5350421.01,2.2195264292692434
780,1991_5350421.04,1.7641554369579475
781,1991_5350421.05,1.7641554369579475
782,1991_5350421.06,1.7267585494266795
783,1991_5350421.07,1.7267585494266795
784,1991_5350422.02,0.07511963047844587
785,1991_5350422.03,0.8452898305807041
786,1991_5350422.04,0.8452898305807041
787,1991_5350422.05,0.8452898305807041
788,1991_5350422.06,0.8452898305807041
789,1991_5350423.01,2.2234552098106484
790,1991_5350423.02,1.3597251318485457
791,1991_5350424.04,1.1848376905772018
792,1991_5350424.05,1.0931279735895663
793,1991_5350424.07,1.0931279735895663
794,1991_5350424.08,1.0931279735895663
795,1991_5350424.09,1.2538016877813598
797,1991_5350424.11,1.2538016877813598
798,1991_5350424.13,1.6898036936052228
